Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Soins de beauté / esthétique,SIMA,2021-01-21,14 RUE FRANCOIS GUISOL 06300 NICE,06300,NICE,06,,,,909043812,96.02B
"Entretien corporel (spa, hammam...)",MICHAEL CLOP (MICHAEL KLOP),2021-01-01,174 RUE DE GRENELLE 75007 PARIS,75007,PARIS,75,,,,895391373,96.04Z
"Entretien corporel (spa, hammam...)",ROYAT THERMOTONIC,2021-01-01,HOTEL DE VILLE 46 BOULEVARD BARRIEU 63130 ROYAT,63130,ROYAT,63,,,,892769001,96.04Z
Coiffure,PG HAIR,2020-12-30,880 ROUTE DE CHAROLS 26160 SAINT-GERVAIS-SUR-ROUBION,26160,SAINT-GERVAIS-SUR-ROUBION,26,,,,892706045,96.02A
"Entretien corporel (spa, hammam...)",ZENSEVE,2020-10-20,6 RUE D'ARMAILLE 75017 PARIS,75017,PARIS,75,,,,890579469,96.04Z
Soins de beauté / esthétique,MAMITA CORP,2020-09-01,11 RUE VOLTAIRE 95320 SAINT-LEU-LA-FORET,95320,SAINT-LEU-LA-FORET,95,,,,889976346,96.02B
Coiffure,MCC BARBERSHOPS,2020-08-07,22 RUE DU PRESIDENT WILSON 59140 DUNKERQUE,59140,DUNKERQUE,59,,,,888616182,96.02A
"Entretien corporel (spa, hammam...)",MAUD MOAL (PAUSE COCOON & BIEN-ETRE),2020-08-07,6 RUE JEAN JAURES 07600 VALS-LES-BAINS,07600,VALS-LES-BAINS,07,,,,887988970,96.04Z
Soins de beauté / esthétique,MUSE,2020-07-21,36 RUE SAINT-MARC 75002 PARIS,75002,PARIS,75,,,,885330787,96.02B
Coiffure,MIDO HAIR,2020-07-07,2 AV DU MAL DE LATTRE DE TASSIGNY 79400 SAINT-MAIXENT-L'ECOLE,79400,SAINT-MAIXENT-L'ECOLE,79,,,,885092510,96.02A
Soins de beauté / esthétique,BELLE O NATUREL,2020-04-08,95 RUE DES MARTYRS 75018 PARIS,75018,PARIS,75,,,,882914880,96.02B
Coiffure,BM 5 (BARBER MEN),2020-02-18,BATIMENT A 1421 AVENUE DES PLATANES 34970 LATTES,34970,LATTES,34,,,,882016744,96.02A
"Entretien corporel (spa, hammam...)",SOMTHIP KRISTOF (CHALOONPINYOSAWAT),2020-02-07,8 ESPLANADE DES BELGES 13500 MARTIGUES,13500,MARTIGUES,13,,,,881461107,96.04Z
Soins de beauté / esthétique,A2G,2020-01-08,14 RUE FRANCOIS GUISOL 06300 NICE,06300,NICE,06,,,,880392089,96.02B
"Entretien corporel (spa, hammam...)",FITSF,2019-11-22,21 LOTISSEMENT BEL AIR 97280 LE VAUCLIN,97280,LE VAUCLIN,972,,,,879825297,96.04Z
"Entretien corporel (spa, hammam...)",MY LASER CENTER,2019-07-24,8 SQUARE DU PONT DE SEVRES 92100 BOULOGNE-BILLANCOURT,92100,BOULOGNE-BILLANCOURT,92,,,,853424315,96.04Z
Soins de beauté / esthétique,THAI BIEN ETRE (THAI BIEN ETRE),2019-05-13,56 RUE DE LA CHARITE 69002 LYON,69002,LYON,69,,,,850815002,96.02B
Soins de beauté / esthétique,RIVASUN (RIVA SUN),2019-02-11,62 AVENUE DE LA MER 14150 OUISTREHAM,14150,OUISTREHAM,14,,,,848237970,96.02B
Soins de beauté / esthétique,CHIC NAILS,2019-01-17,LES DEMEURES MONCLAR - LES MILLES 32 AV MARCEL ROCHE 13080 AIX EN PROVENCE,13080,AIX EN PROVENCE,13,,,,849820337,96.02B
Soins de beauté / esthétique,DT SUCC,2019-01-16,CALIFORNIA PARK 196 AVENUE DE LA CALIFORNIE 06200 NICE,06200,NICE,06,,,,849198247,96.02B
Soins de beauté / esthétique,ESCALE BEAUTE,2018-12-13,279 CHEMIN DES DROGEAUX 38330 SAINT-NAZAIRE-LES-EYMES,38330,SAINT-NAZAIRE-LES-EYMES,38,,,,844820910,96.02B
Coiffure,BCF,2018-12-06,CC JAS DE BOUFFAN LOCAL S48 210 AVENUE DE BREDASQUE 13090 AIX-EN-PROVENCE,13090,AIX-EN-PROVENCE,13,,,,844432245,96.02A
Soins de beauté / esthétique,L'INSTITUT - T,2018-11-23,22 RUE DU CHATEAU D’EAU 95650 BOISSY-L'AILLERIE,95650,BOISSY-L'AILLERIE,95,,,,844375089,96.02B
Soins de beauté / esthétique,AU BOUT DES ONGLES,2018-11-06,ZAC CANABADY 1 AVENUE DES OCEANITES 97410 SAINT-PIERRE,97410,SAINT-PIERRE,974,,,,843337205,96.02B
Coiffure,BARBER LYONNAIS,2018-10-25,163 BOULEVARD DE L'ARIANE 06300 NICE,06300,NICE,06,,,,843608837,96.02A
Soins de beauté / esthétique,TOOTAY,2018-10-05,CENTRE COMMERCIAL LE MOULIN A VENT 2 ROUTE DE DAUX 31700 MONDONVILLE,31700,MONDONVILLE,31,,,,843089707,96.02B
"Entretien corporel (spa, hammam...)",LA PLACE,2018-09-17,WOODEN PARK 4 RUE DE LISBONNE 67300 SCHILTIGHEIM,67300,SCHILTIGHEIM,67,,,,842497729,96.04Z
Coiffure,SUDION,2018-09-10,23 CHEMIN DU PETIT VERSA 56860 SENE,56860,SENE,56,,,,842209165,96.02A
Coiffure,CHRISTOPHER MARIE,2018-08-15,[NON-DIFFUSIBLE],[NON-DIFFUSIBLE],LOIRE-AUTHION,49,,,,841617756,96.02A
Soins de beauté / esthétique,RUN EPIL SUD,2018-08-07,61-63 RUE HUBERT DELISLE 97430 LE TAMPON,97430,LE TAMPON,974,,,,844967695,96.02B
"Entretien corporel (spa, hammam...)",CENTRE DE LIPOCRYOLISE ET ESTHETIQUE DE MARTINIQUE (C.L.E.M),2018-08-01,68 AVENUE FRANCOIS VOLTAIRE 97300 CAYENNE,97300,CAYENNE,973,,,,841773856,96.04Z
Soins de beauté / esthétique,MJ ESTHETIC,2018-07-12,5 RUE DU DOCTEUR POTTEVIN 82100 CASTELSARRASIN,82100,CASTELSARRASIN,82,,,,841023039,96.02B
Coiffure,EVOCOIFF,2018-05-14,17 RUE DE LA PAIX 59760 GRANDE-SYNTHE,59760,GRANDE-SYNTHE,59,,,,839842879,96.02A
Soins de beauté / esthétique,BEAUTE 3F,2018-05-01,3 RUE DU TEMPLE 68300 SAINT-LOUIS,68300,SAINT-LOUIS,68,,,,839766268,96.02B
Coiffure,SKALPER'S,2018-04-02,45 RUE GEORGES CLEMENCEAU 63000 CLERMONT-FERRAND,63000,CLERMONT-FERRAND,63,,,,837988369,96.02A
Coiffure,KMS BARBER,2018-03-05,RES ESPACE CAP 4 RUE FRANCOIS LEGALLAIS 33260 LA TESTE-DE-BUCH,33260,LA TESTE-DE-BUCH,33,,,,838787356,96.02A
"Entretien corporel (spa, hammam...)",JUST BODYFIT (JUST BODYFIT),2018-03-01,3 RUE DU FORT 67118 GEISPOLSHEIM,67118,GEISPOLSHEIM,67,,,,838164994,96.04Z
"Entretien corporel (spa, hammam...)",SPORT IMPULSE (SPORT IMPULSE),2018-02-15,12 RUE LAVOISIER 75008 PARIS,75008,PARIS,75,,,,835368770,96.04Z
"Entretien corporel (spa, hammam...)",RIENAFISH,2018-01-26,15 RUE LOUIS BLANC 34500 BEZIERS,34500,BEZIERS,34,,,,837626894,96.04Z
"Entretien corporel (spa, hammam...)",WELL BEING YVES LAMORELLE (MALI THAI INSTITUT),2017-12-15,ILOT 24 62 AVENUE ROBERT SCHUMAN 13002 MARSEILLE,13002,MARSEILLE,13,,,,834050106,96.04Z
"Entretien corporel (spa, hammam...)",LA NOUVELLE PALME D'OR (LA NOUVELLE PALME D'OR),2017-10-05,26 RUE DE L'ACADEMIE 13001 MARSEILLE,13001,MARSEILLE,13,,,,832468516,96.04Z
Coiffure,LA BARBE DE PAPA SUD,2017-07-31,BAT.A 3 BOULEVARD DE CLAIRFONT 66350 TOULOUGES,66350,TOULOUGES,66,,,,831266036,96.02A
