Secteur,Nom,Date création,Adresse,Code postal,Ville,Département,Téléphone,Email,Site web,SIREN,NAF
Coiffure,FABRICE MOUNICHY,1999-03-24,FACE STATION SOUPRAYEN 163 CD 6 - LA SALINE 97411 SAINT-PAUL,97411,SAINT-PAUL,974,,,,422316844,96.02A
Coiffure,DALIYO,1999-01-14,4 RUE DES PECHEURS 20110 PROPRIANO,20110,PROPRIANO,2A,,,,421879503,96.02A
Coiffure,SARL CHARLOTTE COIFFURE,1998-12-01,132 AVENUE DES FRERES LUMIERE 69008 LYON,69008,LYON,69,,,,421036674,96.02A
Coiffure,COIFF & CO SALONS,1998-09-25,104 AVENUE CHARLES DE GAULLE 92200 NEUILLY-SUR-SEINE,92200,NEUILLY-SUR-SEINE,92,,,,420278723,96.02A
Coiffure,D'COIFFE,1998-09-01,74 RUE LEON GAMBETTA 40000 MONT-DE-MARSAN,40000,MONT-DE-MARSAN,40,,,,419913637,96.02A
Coiffure,JEAN-MARC MARIN-CUDRAZ (COUPE DE COEUR),1998-06-03,81 PASSAGE DES CINQ RUES 74120 MEGEVE,74120,MEGEVE,74,,,,419381900,96.02A
Soins de beauté / esthétique,SOGEDIS,1998-05-29,10 AVENUE ALSACE LORRAINE 38000 GRENOBLE,38000,GRENOBLE,38,,,,419105986,96.02B
Coiffure,DENIS RIVIERE,1998-05-26,90 RUE JEAN JAURES 42420 LORETTE,42420,LORETTE,42,,,,418860532,96.02A
Coiffure,JD SALONS,1998-04-16,3 RUE LA BOETIE 75008 PARIS,75008,PARIS,75,,,,418512067,96.02A
Coiffure,STEPHANE MOURIER,1998-04-07,14 RUE CENTRALE 43290 MONTFAUCON-EN-VELAY,43290,MONTFAUCON-EN-VELAY,43,,,,418190674,96.02A
Coiffure,SARL VALENTIN EXPANSION,1998-04-01,STELLA-PLAGE 243 RUE BAILLARQUET 62780 CUCQ,62780,CUCQ,62,,,,418333225,96.02A
Coiffure,SARL IMAGIN'COIFFURE,1998-03-23,16 RUE AUX TANNEURS 28100 DREUX,28100,DREUX,28,,,,418235685,96.02A
Coiffure,TO BE ONE,1998-03-23,LE MALIBU 2 IMPASSE AMARO 06200 NICE,06200,NICE,06,,,,418379020,96.02A
